name,company,year,Price,kms_driven,fuel_type
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,80000.0,45000.0,Petrol
Mahindra Jeep CL550 MDI,Mahindra,2006,425000.0,40.0,Diesel
Hyundai Grand i10 Magna 12 Kappa VTVT,Hyundai,2014,325000.0,28000.0,Petrol
Ford EcoSport Titanium 15L TDCi,Ford,2014,575000.0,36000.0,Diesel
Ford Figo,Ford,2012,175000.0,41000.0,Diesel
Hyundai Eon,Hyundai,2013,190000.0,25000.0,Petrol
Ford EcoSport Ambiente 15L TDCi,Ford,2016,830000.0,24530.0,Diesel
Maruti Suzuki Alto K10 VXi AMT,Maruti Suzuki,2015,250000.0,60000.0,Petrol
Skoda Fabia Classic 12 MPI,Skoda,2010,182000.0,60000.0,Petrol
Maruti Suzuki Stingray VXi,Maruti Suzuki,2015,315000.0,30000.0,Petrol
Hyundai Elite i20 Magna 12,Hyundai,2014,415000.0,32000.0,Petrol
Mahindra Scorpio SLE BS IV,Mahindra,2015,320000.0,48660.0,Diesel
Audi A8,Audi,2017,1000000.0,4000.0,Petrol
Audi Q7,Audi,2014,500000.0,16934.0,Diesel
Mahindra Scorpio S10,Mahindra,2016,350000.0,43000.0,Diesel
Maruti Suzuki Alto 800,Maruti Suzuki,2014,160000.0,35550.0,Petrol
Mahindra Scorpio S10,Mahindra,2016,310000.0,39522.0,Diesel
Maruti Suzuki Alto 800 Vxi,Maruti Suzuki,2015,75000.0,39000.0,Petrol
Hyundai i20 Sportz 12,Hyundai,2012,100000.0,55000.0,Petrol
Maruti Suzuki Alto 800 Lx,Maruti Suzuki,2017,190000.0,72000.0,Petrol
Maruti Suzuki Vitara Brezza ZDi,Maruti Suzuki,2016,290000.0,15975.0,Diesel
Maruti Suzuki Alto LX,Maruti Suzuki,2008,95000.0,70000.0,Petrol
Mahindra Bolero DI,Mahindra,2017,180000.0,23452.0,Diesel
Maruti Suzuki Swift Dzire ZDi,Maruti Suzuki,2014,385000.0,35522.0,Diesel
Mahindra Scorpio S10 4WD,Mahindra,2015,250000.0,48508.0,Diesel
Maruti Suzuki Swift Vdi BSIII,Maruti Suzuki,2017,180000.0,15487.0,Petrol
Maruti Suzuki Wagon R VXi BS III,Maruti Suzuki,2013,105000.0,39000.0,Petrol
Maruti Suzuki Wagon R VXi Minor,Maruti Suzuki,2013,105000.0,39000.0,Petrol
Toyota Innova 20 G 8 STR BS IV,Toyota,2012,650000.0,82000.0,Diesel
Renault Lodgy 85 PS RXL,Renault,2018,689999.0,20000.0,Diesel
Skoda Yeti Ambition 20 TDI CR 4x2,Skoda,2012,448000.0,68000.0,Diesel
Maruti Suzuki Baleno Delta 12,Maruti Suzuki,2017,549000.0,32000.0,Diesel
Renault Duster 110 PS RxZ Diesel Plus,Renault,2012,501000.0,38000.0,Diesel
Renault Duster 85 PS RxE Diesel,Renault,2013,489999.0,27000.0,Diesel
Honda City 15 S MT,Honda,2011,280000.0,33000.0,Petrol
Maruti Suzuki Dzire,Maruti Suzuki,2013,349999.0,46000.0,Diesel
Honda Amaze,Honda,2013,284999.0,46000.0,Diesel
Honda Amaze 15 SX i DTEC,Honda,2015,345000.0,36000.0,Diesel
Honda City,Honda,2015,499999.0,55000.0,Petrol
Datsun Redi GO S,Datsun,2017,235000.0,16000.0,Petrol
Maruti Suzuki SX4 ZXI MT,Maruti Suzuki,2010,249999.0,36000.0,Petrol
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,1475000.0,47000.0,Diesel
Mahindra Scorpio S10,Mahindra,2015,395000.0,35000.0,Diesel
Maruti Suzuki Swift VXi 12 ABS BS IV,Maruti Suzuki,2017,220000.0,30874.0,Petrol
Honda City ZX CVT,Honda,2017,170000.0,15000.0,Diesel
Maruti Suzuki Wagon R LX BS IV,Maruti Suzuki,2013,85000.0,29685.0,Petrol
Tata Indigo eCS LS CR4 BS IV,Tata,2017,200000.0,130.0,Diesel
Mahindra Scorpio SLE BS IV,Mahindra,2012,570000.0,19000.0,Diesel
Volkswagen Polo Highline Exquisite P,Volkswagen,2014,315000.0,60000.0,Petrol
Chevrolet Spark LS 10,Chevrolet,2010,110000.0,41000.0,Petrol
Renault Duster 110PS Diesel RxZ,Renault,2012,501000.0,35000.0,Diesel
Honda City,Honda,2015,448999.0,54000.0,Petrol
Mini Cooper S 16,Mini Cooper,2013,1891111.0,13000.0,Petrol
Skoda Fabia 12L Diesel Ambiente,Skoda,2011,159500.0,38200.0,Diesel
Honda Amaze,Honda,2015,344999.0,22000.0,Petrol
Renault Duster,Renault,2014,449999.0,50000.0,Diesel
Mini Cooper S 16,Mini Cooper,2013,1891111.0,13500.0,Petrol
Mahindra Scorpio S4,Mahindra,2015,865000.0,30000.0,Diesel
Mahindra Scorpio VLX 2WD BS IV,Mahindra,2014,699000.0,50000.0,Diesel
Mahindra Quanto C8,Mahindra,2013,375000.0,20000.0,Diesel
Ford EcoSport,Ford,2017,489999.0,39000.0,Petrol
Honda Brio,Honda,2012,224999.0,30000.0,Petrol
Volkswagen Vento Highline Plus 15 Diesel AT,Volkswagen,2019,1200000.0,3600.0,Diesel
Hyundai i20 Magna,Hyundai,2009,195000.0,32000.0,Petrol
Toyota Corolla Altis Diesel D4DG,Toyota,2010,351000.0,38000.0,Diesel
Hyundai Verna Transform SX VTVT,Hyundai,2008,160000.0,45000.0,Petrol
Toyota Corolla Altis Petrol Ltd,Toyota,2009,240000.0,35000.0,Petrol
Honda City 15 EXi New,Honda,2005,90000.0,50000.0,Petrol
Skoda Fabia 12L Diesel Elegance,Skoda,2011,155000.0,45863.0,Diesel
BMW 3 Series 320i,BMW,2011,600000.0,60500.0,Petrol
Maruti Suzuki A Star Lxi,Maruti Suzuki,2011,189500.0,12500.0,Petrol
Toyota Etios GD,Toyota,2013,350000.0,60000.0,Diesel
Ford Figo Diesel EXI Option,Ford,2012,210000.0,35000.0,Diesel
Maruti Suzuki Swift Dzire VXi 12 BS IV,Maruti Suzuki,2014,390000.0,35000.0,Petrol
Chevrolet Beat LT Diesel,Chevrolet,2012,135000.0,45000.0,Diesel
BMW 7 Series 740Li Sedan,BMW,2009,1600000.0,35000.0,Petrol
Mahindra XUV500 W8 AWD 2013,Mahindra,2013,701000.0,38000.0,Diesel
Hyundai i10 Magna 12,Hyundai,2014,265000.0,18000.0,Petrol
Hyundai Verna Fluidic New,Hyundai,2015,525000.0,35000.0,Diesel
Maruti Suzuki Swift VXi 12 BS IV,Maruti Suzuki,2013,372000.0,13349.0,Petrol
Maruti Suzuki Ertiga ZXI Plus,Maruti Suzuki,2016,635000.0,29000.0,Petrol
Ford EcoSport Titanium 15L TDCi,Ford,2014,550000.0,44000.0,Diesel
Maruti Suzuki Ertiga Vxi,Maruti Suzuki,2016,575000.0,29000.0,Petrol
Maruti Suzuki Ertiga VDi,Maruti Suzuki,2013,485000.0,42000.0,Diesel
Maruti Suzuki Alto LXi BS III,Maruti Suzuki,2012,155000.0,14000.0,Petrol
Hyundai Grand i10 Asta 11 CRDi,Hyundai,2014,345000.0,49000.0,Diesel
Honda Amaze 12 S i VTEC,Honda,2014,325000.0,42000.0,Petrol
Hyundai i20 Asta 14 CRDI 6 Speed,Hyundai,2012,329500.0,36200.0,Diesel
Ford Figo Diesel EXI,Ford,2014,195000.0,50000.0,Diesel
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti Suzuki,2015,251111.0,55000.0,Petrol
Maruti Suzuki Ertiga ZXi,Maruti Suzuki,2014,569999.0,45000.0,Petrol
Maruti Suzuki Esteem LXi BS III,Maruti Suzuki,2007,69999.0,51000.0,Petrol
Maruti Suzuki Ritz VXI,Maruti Suzuki,2014,299999.0,19000.0,Petrol
Maruti Suzuki Dzire,Maruti Suzuki,2009,220000.0,46000.0,Petrol
Maruti Suzuki Ritz LDi,Maruti Suzuki,2013,399999.0,33000.0,Diesel
Maruti Suzuki Dzire VDI,Maruti Suzuki,2015,450000.0,104.0,Diesel
Toyota Etios Liva G,Toyota,2014,270000.0,55000.0,Petrol
Hyundai i20 Sportz 14 CRDI,Hyundai,2011,350000.0,33333.0,Diesel
Chevrolet Spark,Chevrolet,2012,158400.0,33600.0,Petrol
Maruti Suzuki Alto K10 VXi AMT,Maruti Suzuki,2017,350000.0,5600.0,Petrol
Nissan Micra XV,Nissan,2011,179000.0,41000.0,Petrol
Maruti Suzuki Swift,Maruti Suzuki,2007,125000.0,70000.0,Petrol
Maruti Suzuki Alto 800,Maruti Suzuki,2018,200000.0,7500.0,Petrol
Honda Amaze 15 S i DTEC,Honda,2013,299000.0,45000.0,Diesel
Maruti Suzuki Alto 800 Vxi,Maruti Suzuki,2015,220000.0,38000.0,Petrol
Chevrolet Beat,Chevrolet,2015,150000.0,30000.0,Petrol
Toyota Corolla,Toyota,2009,275000.0,26000.0,Unknown
Honda City 15 V MT,Honda,2010,285000.0,35000.0,Petrol
Ford EcoSport Trend 15L TDCi,Ford,2016,830000.0,24330.0,Diesel
Hyundai i20 Asta 12,Hyundai,2009,210000.0,65480.0,Petrol
Maruti Suzuki Swift Dzire VXi 12 BS IV,Maruti Suzuki,2013,340000.0,41000.0,Petrol
Tata Indica V2 eLS,Tata,2006,90000.0,20000.0,Petrol
Hindustan Motors Ambassador,Hindustan Motors,2000,70000.0,200.0,Diesel
Toyota Corolla Altis 18 GL,Toyota,2010,289999.0,70000.0,Petrol
Toyota Corolla Altis 18 J,Toyota,2012,349999.0,59000.0,Petrol
Toyota Innova 25 GX BS IV 7 STR,Toyota,2012,849999.0,99000.0,Diesel
Volkswagen Jetta Highline TDI AT,Volkswagen,2014,749999.0,46000.0,Diesel
Volkswagen Polo Comfortline 12L P,Volkswagen,2015,399999.0,2800.0,Petrol
Volkswagen Polo,Volkswagen,2014,274999.0,32000.0,Petrol
Mahindra Scorpio,Mahindra,2015,984999.0,22000.0,Diesel
Nissan Sunny,Nissan,2012,224999.0,45000.0,Petrol
Hyundai Elite i20,Hyundai,2018,599999.0,21000.0,Petrol
Renault Kwid,Renault,2016,244999.0,11000.0,Petrol
Renault Duster,Renault,2013,399999.0,41000.0,Diesel
Renault Duster,Renault,2014,474999.0,50000.0,Diesel
Mahindra Scorpio VLX Airbag,Mahindra,2011,499999.0,66000.0,Diesel
Maruti Suzuki Alto 800 Lxi,Maruti Suzuki,2018,310000.0,3000.0,Petrol
Chevrolet Spark LT 10,Chevrolet,2010,85000.0,45000.0,Petrol
Datsun Redi GO T O,Datsun,2016,245000.0,7000.0,Petrol
Maruti Suzuki Swift RS VDI,Maruti Suzuki,2010,189500.0,38500.0,Diesel
Fiat Punto Emotion 12,Fiat,2012,169500.0,37200.0,Diesel
Maruti Suzuki Swift RS VDI,Maruti Suzuki,2010,159500.0,43200.0,Diesel
Toyota Etios GD,Toyota,2013,275000.0,24800.0,Petrol
Hyundai i20 Sportz 14 CRDI,Hyundai,2014,370000.0,60000.0,Diesel
Hyundai i10 Sportz 12,Hyundai,2010,168000.0,45872.0,Petrol
Chevrolet Beat LT Opt Diesel,Chevrolet,2011,150000.0,40000.0,Diesel
Chevrolet Beat LS Diesel,Chevrolet,2011,145000.0,45000.0,Diesel
Chevrolet Beat LT Diesel,Chevrolet,2012,98500.0,38000.0,Diesel
Tata Indigo CS,Tata,2011,85000.0,11400.0,Diesel
Toyota Corolla Altis 18 J,Toyota,2015,575000.0,42000.0,Petrol
Honda City 15 V MT,Honda,2014,549000.0,39000.0,Petrol
Maruti Suzuki Swift VDi,Maruti Suzuki,2011,209000.0,47000.0,Diesel
Hyundai Eon Era Plus,Hyundai,2013,185000.0,27000.0,Petrol
Mahindra Scorpio S10,Mahindra,2015,900000.0,97200.0,Diesel
Mahindra XUV500,Mahindra,2014,699999.0,52000.0,Diesel
Ford Fiesta,Ford,2011,274999.0,55000.0,Diesel
Honda City,Honda,2015,599999.0,30000.0,Diesel
Maruti Suzuki Wagon R,Maruti Suzuki,2012,199999.0,44000.0,Petrol
Honda City,Honda,2014,544999.0,45000.0,Diesel
Hyundai i20,Hyundai,2009,199000.0,31000.0,Petrol
Tata Indigo eCS LX TDI BS III,Tata,2016,320000.0,175.0,Diesel
Hyundai Fluidic Verna 16 CRDi SX,Hyundai,2015,540000.0,38000.0,Diesel
Mahindra Quanto C8,Mahindra,2013,340000.0,37000.0,Diesel
Fiat Petra ELX 12 PS,Fiat,2008,75000.0,65000.0,Petrol
Hyundai Santro Xing XS,Hyundai,2005,49000.0,7500.0,Petrol
Maruti Suzuki Ciaz VXi Plus,Maruti Suzuki,2016,700000.0,3350.0,Petrol
Maruti Suzuki Zen VX,Maruti Suzuki,2000,55000.0,60000.0,Petrol
Hyundai Creta 16 SX Plus Petrol,Hyundai,2017,895000.0,32000.0,Petrol
Mahindra Scorpio SLX,Mahindra,2007,355000.0,75000.0,Diesel
Mahindra Scorpio SLE BS IV,Mahindra,2012,565000.0,62000.0,Diesel
Toyota Innova 25 G BS III 8 STR,Toyota,2006,365000.0,73000.0,Diesel
Maruti Suzuki Alto K10 VXi AMT,Maruti Suzuki,2011,145000.0,41000.0,Petrol
Maruti Suzuki Wagon R LXI BS IV,Maruti Suzuki,2011,210000.0,35000.0,Petrol
Tata Nano Cx BSIV,Tata,2013,40000.0,2200.0,Petrol
Maruti Suzuki Alto Std BS IV,Maruti Suzuki,2013,125000.0,39000.0,Petrol
Maruti Suzuki Wagon R LXi BS III,Maruti Suzuki,2009,135000.0,45000.0,Petrol
Maruti Suzuki Swift VXI BSIII,Maruti Suzuki,2006,135000.0,45000.0,Petrol
Tata Sumo Victa EX 10 by 7 Str BSIII,Tata,2012,285000.0,65000.0,Diesel
Maruti Suzuki Wagon R LXi BS III,Maruti Suzuki,2010,145000.0,54870.0,Petrol
Maruti Suzuki Alto LXi BS III,Maruti Suzuki,2010,135000.0,34580.0,Petrol
Volkswagen Passat Diesel Comfortline AT,Volkswagen,2009,450000.0,97000.0,Diesel
Renault Scala RxL Diesel Travelogue,Renault,2015,375000.0,25000.0,Diesel
Hyundai Grand i10 Sportz O 12 Kappa VTVT,Hyundai,2014,365000.0,20000.0,Petrol
Hyundai i20 Active 12 SX,Hyundai,2015,500000.0,18000.0,Petrol
Mahindra Xylo E4,Mahindra,2012,400000.0,35000.0,Diesel
Mahindra Jeep MM 550 XDB,Mahindra,2019,390000.0,60.0,Diesel
Mahindra Bolero SLE BS IV,Mahindra,2013,330000.0,80200.0,Diesel
Force Motors Force One LX ABS 7 STR,Force Motors,2015,580000.0,3200.0,Diesel
Maruti Suzuki SX4,Maruti Suzuki,2012,265000.0,46000.0,Diesel
Maruti Suzuki Alto 800,Maruti Suzuki,2015,219000.0,5000.0,Petrol
Mahindra Jeep CL550 MDI,Mahindra,2018,385000.0,588.0,Diesel
Toyota Etios,Toyota,2011,275000.0,36000.0,Diesel
Volkswagen Polo,Volkswagen,2015,330000.0,38000.0,Diesel
Honda City ZX VTEC,Honda,2008,110000.0,45000.0,Petrol
Maruti Suzuki Wagon R LX BS III,Maruti Suzuki,2006,80000.0,71200.0,Petrol
Honda City VX O MT Diesel,Honda,2016,519000.0,52000.0,Diesel
Mahindra Thar CRDe 4x4 AC,Mahindra,2016,730000.0,29000.0,Diesel
Audi A4 18 TFSI Multitronic Premium Plus,Audi,2009,699000.0,47000.0,Petrol
Mercedes Benz GLA Class 200 CDI Sport,Mercedes Benz,2015,2000000.0,20000.0,Diesel
Land Rover Freelander 2 SE,Land Rover,2015,2100000.0,30000.0,Diesel
Renault Kwid RXT,Renault,2017,340000.0,5000.0,Petrol
Tata Aria Pleasure 4X2,Tata,2014,390000.0,35000.0,Diesel
Mercedes Benz B Class B180 Sports,Mercedes Benz,2014,1400000.0,31000.0,Petrol
Datsun GO T O,Datsun,2016,245000.0,7000.0,Petrol
Honda Jazz VX MT,Honda,2016,450000.0,41000.0,Petrol
Honda Amaze 12 S i VTEC,Honda,2014,311000.0,33000.0,Petrol
Honda City,Honda,2012,399999.0,45000.0,Petrol
Honda City,Honda,2015,599999.0,39000.0,Diesel
Mahindra Scorpio S4,Mahindra,2015,855000.0,30000.0,Diesel
Hyundai i20 Active 14L SX O,Hyundai,2015,535000.0,37000.0,Diesel
Mini Cooper S,Mini Cooper,2013,1891111.0,13000.0,Petrol
Maruti Suzuki Ciaz ZXI Plus,Maruti Suzuki,2017,699000.0,14000.0,Petrol
Chevrolet Tavera Neo,Chevrolet,2013,375000.0,55000.0,Diesel
Hyundai Eon Sportz,Hyundai,2012,178000.0,30000.0,Petrol
Tata Sumo Gold Select Variant,Tata,2013,300000.0,50000.0,Diesel
Maruti Suzuki Wagon R 10,Maruti Suzuki,2003,90000.0,45000.0,Petrol
Maruti Suzuki Esteem VXi BS III,Maruti Suzuki,2006,95000.0,45000.0,Petrol
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti Suzuki,2015,255000.0,9300.0,Petrol
Chevrolet Enjoy 14 LS 8 STR,Chevrolet,2013,245000.0,55000.0,Diesel
Maruti Suzuki Wagon R 10 VXi,Maruti Suzuki,2015,289999.0,22000.0,Petrol
Nissan Terrano XL D Plus,Nissan,2015,499999.0,60000.0,Diesel
Renault Duster 85 PS RxE Diesel,Renault,2014,489999.0,59000.0,Diesel
Renault Duster 85 PS RxL Diesel,Renault,2015,549999.0,19000.0,Diesel
Maruti Suzuki Dzire ZXI,Maruti Suzuki,2013,380000.0,30000.0,Petrol
Renault Kwid RXT Opt,Renault,2018,325000.0,15000.0,Petrol
Maruti Suzuki Maruti 800 Std,Maruti Suzuki,2003,57000.0,56758.0,Petrol
Renault Kwid 10 RXT AMT,Renault,2018,349999.0,10000.0,Petrol
Renault Scala RxL Diesel,Renault,2014,349999.0,49000.0,Diesel
Hyundai Grand i10 Asta 12 Kappa VTVT O,Hyundai,2014,410000.0,41000.0,Petrol
Maruti Suzuki Swift Dzire VXi 12 BS IV,Maruti Suzuki,2011,225000.0,45000.0,Petrol
Chevrolet Beat LS Petrol,Chevrolet,2010,120000.0,43000.0,Petrol
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2000,59000.0,56450.0,Petrol
Chevrolet Beat LS Petrol,Chevrolet,2010,80000.0,56000.0,Petrol
Chevrolet Beat LS Petrol,Chevrolet,2015,220000.0,32700.0,Petrol
Ford EcoSport Titanium 15L TDCi,Ford,2016,599000.0,30000.0,Diesel
Hyundai Accent GLX,Hyundai,2006,80000.0,56000.0,Petrol
Mahindra TUV300 T4 Plus,Mahindra,2016,675000.0,9000.0,Diesel
Tata Indica V2 Xeta e GLE,Tata,2008,150000.0,11000.0,Petrol
Tata Indigo CS LS DiCOR,Tata,2009,72500.0,46000.0,Diesel
Maruti Suzuki Swift VXi 12 ABS BS IV,Maruti Suzuki,2019,610000.0,73.0,Petrol
Mahindra Scorpio VLX Special Edition BS III,Mahindra,2004,230000.0,160.0,Diesel
Honda Accord,Honda,2009,175000.0,58559.0,Petrol
Ford EcoSport Titanium 15 TDCi,Ford,2014,520000.0,57000.0,Diesel
Maruti Suzuki Ertiga,Maruti Suzuki,2015,524999.0,50000.0,Diesel
Honda Amaze,Honda,2014,299999.0,37000.0,Petrol
Maruti Suzuki Dzire,Maruti Suzuki,2012,299999.0,40000.0,Petrol
Honda City,Honda,2011,284999.0,55000.0,Petrol
Mahindra Scorpio 26 CRDe,Mahindra,2007,220000.0,170.0,Diesel
Maruti Suzuki Dzire,Maruti Suzuki,2014,424999.0,55000.0,Diesel
